id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
69756000,147500.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,6032,,,,60.0,,,1.0,INSTALLED,0,0,1,,0,0.0,0,1,GOOD,131.0,B,GAS,1,
66805000,90000.0,APARTMENT,APARTMENT,Wallonia,Hainaut,Charleroi,7170,50.4888963,4.2272612,,,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,619.0,G,FUELOIL,0,739.0
4713000,249500.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1080,50.8485378,4.3341932,2008.0,90.0,,2.0,2.0,USA_INSTALLED,0,0,0,0.0,0,0.0,0,0,AS_NEW,225.0,E,GAS,1,814.0
32298000,167500.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7080,,,,154.0,1131.0,3.0,3.0,MISSING,0,1,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,1,
43120000,1585000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2950,,,2021.0,457.0,4000.0,4.0,5.0,HYPER_EQUIPPED,0,1,0,0.0,1,3830.0,0,0,MISSING,40.0,A,GAS,1,
79372000,290000.0,HOUSE,VILLA,Wallonia,Liège,Liège,4140,50.5140629,5.6640011,2023.0,124.0,578.0,4.0,3.0,NOT_INSTALLED,0,0,1,,0,0.0,0,1,MISSING,,MISSING,MISSING,0,
7499000,369000.0,HOUSE,MIXED_USE_BUILDING,Flanders,Limburg,Hasselt,3560,50.9958584,5.2079482,1975.0,265.0,986.0,,3.0,INSTALLED,0,0,1,13.0,0,0.0,0,0,MISSING,389.0,D,FUELOIL,1,989.0
34283000,275390.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3200,50.9975322,4.8412256,,97.0,,,2.0,MISSING,0,0,0,0.0,0,0.0,0,1,MISSING,,MISSING,MISSING,0,
46246000,229000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mouscron,7700,,,1950.0,188.0,1271.0,4.0,3.0,INSTALLED,0,0,1,40.0,1,800.0,0,1,GOOD,380.0,E,FUELOIL,1,874.0
55164000,349000.0,HOUSE,BUNGALOW,Flanders,Antwerp,Turnhout,2235,51.0432515,4.8104061,1986.0,132.0,782.0,4.0,3.0,INSTALLED,0,0,0,0.0,0,0.0,0,0,GOOD,289.0,C,GAS,1,847.0
79416000,415000.0,HOUSE,HOUSE,Flanders,Antwerp,Mechelen,2570,51.0869768,4.5196291,1985.0,200.0,675.0,,2.0,SEMI_EQUIPPED,0,1,1,15.0,1,260.0,0,0,TO_BE_DONE_UP,458.0,E,GAS,1,1122.0
18776000,349900.0,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8400,51.2199048,2.9108039,1930.0,163.0,182.0,4.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,283.0,C,MISSING,0,
25150000,450000.0,HOUSE,HOUSE,Flanders,West Flanders,Kortrijk,8552,50.7682516,3.4000856,2021.0,178.0,0.0,3.0,4.0,MISSING,0,0,0,0.0,0,0.0,0,0,GOOD,31.0,A,MISSING,1,
65249000,459000.0,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2550,51.1267574,4.4800844,2024.0,169.0,286.0,3.0,3.0,HYPER_EQUIPPED,0,1,1,7.0,0,0.0,0,0,MISSING,,MISSING,MISSING,1,
25127000,267600.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4040,50.6724567,5.6130801,,111.0,,,2.0,MISSING,0,0,1,13.0,0,0.0,0,1,AS_NEW,,MISSING,MISSING,0,
32536000,335000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2194604,2.8893078,1990.0,90.0,,4.0,2.0,INSTALLED,0,0,1,,0,0.0,0,0,GOOD,151.0,B,GAS,0,1145.0
11085000,484741.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7332,,,,195.0,1202.0,,3.0,HYPER_EQUIPPED,0,0,0,0.0,0,0.0,0,1,GOOD,,MISSING,GAS,1,
60482000,475000.0,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1030,50.8761618,4.3885496,1932.0,203.0,65.0,2.0,4.0,USA_HYPER_EQUIPPED,0,0,1,8.0,0,0.0,0,1,GOOD,311.0,F,GAS,1,
45969000,253000.0,APARTMENT,GROUND_FLOOR,Flanders,West Flanders,Oostend,8450,51.2305879,2.9627828,2022.0,85.0,,,1.0,INSTALLED,0,0,0,0.0,0,0.0,0,1,GOOD,,A+,MISSING,0,
51262000,285000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3400,50.7867573,5.0336305,1939.0,328.0,682.0,4.0,5.0,MISSING,0,0,1,27.0,1,476.0,0,0,TO_BE_DONE_UP,524.0,F,GAS,1,743.0
66916000,199000.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1800,50.9163171,4.4024095,1968.0,71.0,,,2.0,SEMI_EQUIPPED,0,0,1,,0,0.0,0,0,TO_RENOVATE,136.0,B,FUELOIL,1,760.0
65292000,425000.0,HOUSE,BUNGALOW,Wallonia,Walloon Brabant,Nivelles,1440,,,2008.0,121.0,575.0,4.0,2.0,USA_HYPER_EQUIPPED,0,0,1,40.0,0,0.0,0,0,AS_NEW,312.0,D,GAS,1,
28524000,649000.0,HOUSE,HOUSE,Flanders,East Flanders,Gent,9080,51.1005716,3.8515644,2002.0,270.0,929.0,4.0,4.0,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,177.0,B,GAS,1,1333.0
65838000,159000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Mechelen,2580,51.0541419,4.6287131,,71.0,,2.0,2.0,SEMI_EQUIPPED,0,1,1,5.0,0,0.0,0,1,GOOD,487.0,E,GAS,1,701.0
62219000,325000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Sint-Niklaas,9140,51.1244236,4.2177481,,119.0,,,2.0,MISSING,0,0,0,0.0,1,57.0,0,0,GOOD,,MISSING,MISSING,1,
74568000,295000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Oostend,8400,51.2172238,2.9069621,2016.0,83.0,,2.0,2.0,MISSING,0,0,1,7.0,0,0.0,0,0,GOOD,88.0,A,GAS,1,980.0
25687000,210000.0,HOUSE,MIXED_USE_BUILDING,Wallonia,Hainaut,Soignies,7860,50.7118929,3.8303545,,320.0,180.0,2.0,4.0,MISSING,0,0,1,,0,0.0,0,1,MISSING,533.0,G,GAS,1,
64309000,225000.0,APARTMENT,APARTMENT,Brussels-Capital,Brussels,Brussels,1120,50.9038447,4.3861531,2023.0,103.0,,3.0,3.0,MISSING,0,0,1,14.0,0,0.0,0,1,TO_RESTORE,145.0,C,MISSING,0,
64049000,229000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2100,51.2000495,4.4750074,1974.0,89.0,,3.0,2.0,SEMI_EQUIPPED,0,1,1,3.0,0,0.0,0,1,AS_NEW,217.0,C,GAS,1,912.0
